Match,Match_id,Team Innings,Batting Position,Batsman Name,Runs,Balls,Fours,Sixes,SR,is_out,Boundary Runs
Namibia Vs Sri Lanka,T20I # 1823,Namibia,1,Michael van Lingen,3,6,0,0,50.00,1,0
Namibia Vs Sri Lanka,T20I # 1823,Namibia,2,Divan la Cock,9,9,1,0,100.00,1,4
Namibia Vs Sri Lanka,T20I # 1823,Namibia,3,Jan Nicol Loftie-Eaton,20,12,1,2,166.66,1,16
Namibia Vs Sri Lanka,T20I # 1823,Namibia,4,Stephan Baard,26,24,2,0,108.33,1,8
Namibia Vs Sri Lanka,T20I # 1823,Namibia,5,Gerhard Erasmus,20,24,0,0,83.33,1,0
Namibia Vs Sri Lanka,T20I # 1823,Namibia,6,Jan Frylinck,44,28,4,0,157.14,1,16
Namibia Vs Sri Lanka,T20I # 1823,Namibia,7,David Wiese,0,1,0,0,0.00,1,0
Namibia Vs Sri Lanka,T20I # 1823,Namibia,8,JJ Smit,31,16,2,2,193.75,0,20
Sri Lanka Vs Namibia,T20I # 1823,Sri Lanka,1,Pathum Nissanka,9,10,1,0,90.00,1,4
Sri Lanka Vs Namibia,T20I # 1823,Sri Lanka,2,Kusal Mendis,6,6,0,0,100.00,1,0
Sri Lanka Vs Namibia,T20I # 1823,Sri Lanka,3,Dhananjaya de Silva,12,11,1,0,109.09,1,4
Sri Lanka Vs Namibia,T20I # 1823,Sri Lanka,4,Danushka Gunathilaka,0,1,0,0,0.00,1,0
Sri Lanka Vs Namibia,T20I # 1823,Sri Lanka,5,Bhanuka Rajapaksa,20,21,2,0,95.23,1,8
Sri Lanka Vs Namibia,T20I # 1823,Sri Lanka,6,Dasun Shanaka,29,23,2,1,126.08,1,14
Sri Lanka Vs Namibia,T20I # 1823,Sri Lanka,7,Wanindu Hasaranga de Silva,4,8,0,0,50.00,1,0
Sri Lanka Vs Namibia,T20I # 1823,Sri Lanka,8,Chamika Karunaratne,5,8,0,0,62.50,1,0
Sri Lanka Vs Namibia,T20I # 1823,Sri Lanka,9,Pramod Madushan,0,0,0,0,-,1,0
Sri Lanka Vs Namibia,T20I # 1823,Sri Lanka,10,Dushmantha Chameera,8,15,0,0,53.33,1,0
Sri Lanka Vs Namibia,T20I # 1823,Sri Lanka,11,Maheesh Theekshana,11,11,0,1,100.00,0,6
Netherlands Vs U.A.E.,T20I # 1825,United Arab Emirates,1,Chirag Suri,12,20,1,0,60.00,1,4
Netherlands Vs U.A.E.,T20I # 1825,United Arab Emirates,2,Muhammad Waseem,41,47,1,2,87.23,1,16
Netherlands Vs U.A.E.,T20I # 1825,United Arab Emirates,3,Kashif Daud,15,14,0,1,107.14,1,6
Netherlands Vs U.A.E.,T20I # 1825,United Arab Emirates,4,Vriitya Aravind,18,21,0,0,85.71,1,0
Netherlands Vs U.A.E.,T20I # 1825,United Arab Emirates,5,Zawar Farid,2,4,0,0,50.00,1,0
Netherlands Vs U.A.E.,T20I # 1825,United Arab Emirates,6,Basil Hameed,4,4,1,0,100.00,1,4
Netherlands Vs U.A.E.,T20I # 1825,United Arab Emirates,7,Chundangapoyil Rizwan,1,2,0,0,50.00,1,0
Netherlands Vs U.A.E.,T20I # 1825,United Arab Emirates,8,Aayan Afzal Khan,5,7,0,0,71.42,1,0
Netherlands Vs U.A.E.,T20I # 1825,United Arab Emirates,9,Karthik Meiyappan,0,0,0,0,-,0,0
Netherlands Vs U.A.E.,T20I # 1825,United Arab Emirates,10,Junaid Siddique,0,1,0,0,0.00,0,0
